Team,R,RA,wR,wRA
UCF,8.20548,3.719,1.292582967,0.563289454
UCLA,9.3141,2.8652,1.467220322,0.433970676
UIC,4.76966,7.56405,0.751349254,1.14567077
ULM,7.05545,6.47555,1.111422427,0.980803717
UMass,4.84828,8.87796,0.76373401,1.344679011
UMass-Lowell,5.28382,8.10768,0.832343231,1.22801039
UMBC,5.60476,7.52384,0.88289988,1.139580459
UNC Asheville,5.03316,9.08172,0.792857564,1.375541033
UNCG,6.6456,6.10796,1.04686007,0.925127576
UNCW,6.54948,4.37766,1.031718594,0.663051818
UNLV,6.9581,9.02664,1.096087193,1.367198472
USC,8.46432,2.87812,1.333357202,0.435927573
UTA,5.66228,5.73988,0.891960821,0.869377217
Utah,7.632,6.2856,1.2022445,0.952033394
Utah Tech,6.19552,7.48926,0.97596041,1.134342881
Utah Valley,5.5935,9.00965,0.881126128,1.364625122
UTRGV,6.95808,5.4977,1.096084042,0.832696002
UTSA,9.16284,5.01486,1.443392819,0.759563794
Valparaiso,4.416,7.97848,0.695638327,1.20844142
Vanderbilt,8.67616,4.3527,1.366727679,0.659271311
VCU,7.1225,4.7606,1.121984598,0.721052911
Villanova,4.9626,8.40484,0.781742473,1.27301902
Virginia,9.75645,4.5167,1.5369023,0.68411118
Virginia Tech,7.8182,5.1114,1.231575989,0.774185995
VMI,5.96337,7.58948,0.939390564,1.149522464
Wagner,5.91956,9.7584,0.932489315,1.478032753
Wake Forest,9.35439,3.66961,1.473567077,0.555808716
Washington,6.10014,4.91796,0.960935504,0.744887067
Washington State,7.23162,5.52618,1.139173922,0.837009657
West Georgia,5.33844,7.83852,0.840947344,1.187242713
West Virginia,8.57475,3.63262,1.350752886,0.550206114
Western Carolina,7.4319,4.87928,1.170723389,0.739028493
Western Illinois,5.6234,8.5158,0.88583618,1.289825311
Western Kentucky,6.47451,5.16021,1.01990881,0.781578885
Western Michigan,5.63913,6.74635,0.888314076,1.021819792
Wichita State,7.0868,5.24742,1.116360892,0.794787939
William & Mary,5.91888,8.2896,0.932382197,1.255564468
Winthrop,6.66468,5.81269,1.049865681,0.88040521
Wofford,7.2735,5.30265,1.145771144,0.803153219
Wright State,6.21138,6.09352,0.978458785,0.922940455
Xavier,6.37392,5.40464,1.00406319,0.818600891
Yale,5.71748,6.49385,0.9006563,0.983575483
Youngstown State,3.703,9.024,0.583321722,1.366798611
