Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Mississippi St.,112.8,105.8,69.6,1.031775588,0.967834516,1.033340131,3.1
Mississippi Valley St.,90.5,121.7,67,0.827798677,1.113284126,0.994738345,2.1
Missouri,119.3,104.3,66.2,1.091230742,0.954112854,0.982860872,6.47
Missouri St.,109.2,112.1,65.5,0.99884658,1.025465494,0.972468083,5.55
Monmouth,106.1,107.2,67.1,0.970491045,0.9806414,0.996223029,2.85
Montana,106.7,108.7,69.6,0.975979213,0.994363061,1.033340131,3.89
Montana St.,111,108.2,65.9,1.015311084,0.989789174,0.97840682,4.53
Morehead St.,106.9,117.4,65.3,0.977808603,1.073948697,0.969498715,4.43
Morgan St.,99.5,121.1,70.7,0.910121197,1.107795462,1.049671656,1.67
Mount St. Mary's,99.6,109,67.5,0.911035892,0.997107393,1.002161765,2.1
Murray St.,116,112.4,71.7,1.061045818,1.028209826,1.064518497,1.44
N.C. State,123.1,103.9,69.1,1.125989139,0.950453745,1.025916711,2.75
Navy,107.7,106.1,65.1,0.98512616,0.970578848,0.966529347,2.91
Nebraska,119.5,92.9,66.5,1.093060131,0.849828228,0.987314924,5.75
Nebraska Omaha,106.1,114.4,67,0.970491045,1.046505374,0.994738345,2.1
Nevada,115.7,103.8,66.1,1.058301734,0.949538967,0.981376188,2.67
New Hampshire,95.3,116,67.5,0.871704021,1.061141813,1.002161765,2.06
New Haven,96.2,112.3,63.3,0.879936273,1.027295048,0.939805033,
New Mexico,117.5,100.5,70,1.074766238,0.919351312,1.039278868,4.33
New Mexico St.,109,110.3,66.9,0.997017191,1.0089995,0.993253661,5.7
New Orleans,109.8,112,69.8,1.004334748,1.024550716,1.0363095,2.1
Niagara,99.8,118.1,62.1,0.912865281,1.080352139,0.921988824,3.16
Nicholls,105.8,112.1,68.2,0.967746961,1.025465494,1.012554554,2.1
NJIT,96.6,113.5,67.8,0.883595052,1.038272377,1.006615818,2.1
Norfolk St.,101.5,116.8,68.2,0.92841509,1.068460033,1.012554554,2.1
North Alabama,99.6,118.9,64.8,0.911035892,1.087670358,0.962075295,2.1
North Carolina,120.7,100.6,67.9,1.104036467,0.92026609,1.008100502,4.21
North Carolina A&T,105.2,116.3,68.5,0.962258793,1.063886145,1.017008606,2.1
North Carolina Central,100.1,121.1,65.8,0.915609365,1.107795462,0.976922136,2.1
North Dakota,106.8,116.6,67.2,0.976893908,1.066630478,0.997707713,2.1
North Dakota St.,111.6,107,66.6,1.020799252,0.978811845,0.988799608,4.78
North Florida,107,124.5,70.5,0.978723297,1.138897894,1.046702288,2.87
North Texas,103.7,101,65.1,0.948538373,0.923925199,0.966529347,2.99
Northeastern,107.5,118.3,69.6,0.983296771,1.082181694,1.033340131,2.47
Northern Arizona,105.1,119.8,63.8,0.961344099,1.095903355,0.947228454,4.02
Northern Colorado,112.2,110.7,68.7,1.02628742,1.01265861,1.019977974,3.96
Northern Illinois,97,114.5,67.5,0.88725383,1.047420152,1.002161765,3.27
Northern Iowa,109.8,98.8,62.3,1.004334748,0.903800096,0.924958192,3.89
Northern Kentucky,109.6,110.2,70.2,1.002505359,1.008084722,1.042248236,2.1
Northwestern,117.6,104.1,65.1,1.075680932,0.9522833,0.966529347,2.72
Northwestern St.,102.3,112.5,64.8,0.935732648,1.029124603,0.962075295,3.01
Notre Dame,115.5,107,66,1.056472344,0.978811845,0.979891504,5.08
Oakland,115.4,115.1,69.8,1.05555765,1.052908816,1.0363095,2.53
Ohio,107.9,113.7,68.9,0.986955549,1.040101932,1.022947343,4.74
Ohio St.,124,101.9,66,1.134221391,0.932158196,0.979891504,4.25
Oklahoma,123.8,105.5,66.5,1.132392002,0.965090183,0.987314924,5.28
Oklahoma St.,119.5,108.7,72.3,1.093060131,0.994363061,1.073426602,6.52
Old Dominion,106.1,113.1,69,0.970491045,1.034613268,1.024432027,4.07
Oral Roberts,102,115.2,67.7,0.932988564,1.053823594,1.005131133,2.41
Oregon,111.8,104.7,65.9,1.022628642,0.957771964,0.97840682,3.26
Oregon St.,109.2,110,65.1,0.99884658,1.006255168,0.966529347,2.95
Pacific,110.7,105.4,64.3,1.012567,0.964175406,0.954651874,2.84
Penn,107.6,106.6,69.1,0.984211465,0.975152735,1.025916711,2.1
Penn St.,114.2,111.9,67.5,1.044581314,1.023635939,1.002161765,3.69
Pepperdine,105.3,113.6,68.6,0.963173488,1.039187155,1.01849329,2.57
Pittsburgh,113.6,106.4,63.6,1.039093146,0.97332318,0.944259086,2.7
Portland,106.1,109.2,68.5,0.970491045,0.998936948,1.017008606,3.76
Portland St.,103.5,102.2,68,0.946708984,0.934902528,1.009585186,4.59
Prairie View A&M,101.2,111.4,70.7,0.925671006,1.019062052,1.049671656,2.1
Presbyterian,103.3,112.2,64.2,0.944879595,1.026380271,0.95316719,3.07
Princeton,105.5,112.7,63.5,0.965002877,1.030954158,0.942774401,2.95
Providence,121.3,109.1,71.3,1.109524635,0.998022171,1.058579761,4.75
Purdue,131.6,100.5,64.4,1.203738186,0.919351312,0.956136558,4.54
Purdue Fort Wayne,105.4,113.2,67.7,0.964088183,1.035528045,1.005131133,3.47
Queens,115.8,117.6,69.6,1.059216428,1.075778252,1.033340131,2.1
Quinnipiac,104.4,108.5,69.9,0.954941236,0.992533506,1.037794184,1.96
Radford,106.4,114,70.6,0.973235129,1.042846265,1.048186972,2.33
Rhode Island,106.1,103.4,65.7,0.970491045,0.945879858,0.975437452,2.96
Rice,108.9,113.8,65.5,0.996102496,1.04101671,0.972468083,2.39
Richmond,111.6,110.5,67.7,1.020799252,1.010829055,1.005131133,3.58
Rider,95.9,120.1,65.8,0.877192189,1.098647688,0.976922136,2.33
Robert Morris,110.8,109.1,64.5,1.013481695,0.998022171,0.957621242,1.63
Rutgers,110.2,106.5,67.1,1.007993527,0.974237958,0.996223029,3.93
Sacramento St.,105.9,114.4,71.6,0.968661656,1.046505374,1.063033813,2.1
Sacred Heart,107.4,118.8,68.5,0.982382076,1.086755581,1.017008606,1.41
Saint Francis,99.6,121.9,70,0.911035892,1.115113681,1.039278868,2.1
Saint Joseph's,107.8,102.1,68.3,0.986040855,0.933987751,1.014039238,2.1
Saint Louis,120.3,100.8,71.1,1.100377688,0.922095645,1.055610393,4.17
Saint Mary's,119.2,97.3,64.9,1.090316047,0.890078435,0.963559979,2.1
