Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,PA/G,Hand
Paxton Schultz,22.813688212927758,7.604562737642586,0.0,0.0,0.34980988593155893,0.16730038022813687,0.060836501901140684,0.0038022813688212928,0.034220532319391636,5.666666666666667,R
Payton Tolle,27.43801652892562,7.43801652892562,0.199,0.316,0.28760330578512394,0.12231404958677686,0.049586776859504134,0.001652892561983471,0.03305785123966942,23.043478260869566,L
Pete Fairbanks,27.553444180522565,8.788598574821853,0.2147957244655582,0.3737363420427554,0.2850356294536817,0.11163895486935867,0.0332541567695962,0.007125890736342043,0.035629453681710214,4.0227272727272725,R
Peter Lambert,23.14487632508834,9.89399293286219,0.213,0.35,0.30918727915194344,0.13780918727915195,0.03180212014134275,0.0,0.022968197879858657,23.583333333333332,R
Peyton Gray,23.770491803278688,6.557377049180328,0.235,0.373,0.30327868852459017,0.14344262295081966,0.036885245901639344,0.00819672131147541,0.036885245901639344,5.083333333333333,
Peyton Pallette,22.68041237113402,16.49484536082474,0.0,0.0,0.3711340206185567,0.1134020618556701,0.041237113402061855,0.0,0.020618556701030927,6.0625,
Phil Maton,29.166666666666668,10.15625,0.195,0.283,0.3307291666666667,0.13020833333333334,0.041666666666666664,0.005208333333333333,0.020833333333333332,4.387096774193548,
Pierce Johnson,22.871046228710462,8.27250608272506,0.228,0.395,0.30413625304136255,0.1435523114355231,0.0364963503649635,0.004866180048661801,0.0340632603406326,3.6808510638297873,R
Pierson Ohl,20.30075187969925,5.263157894736842,0.0,0.0,0.3383458646616541,0.18045112781954886,0.06015037593984962,0.007518796992481203,0.03759398496240601,9.5,R
Porter Hodge,27.2108843537415,12.244897959183673,0.0,0.0,0.35374149659863946,0.1292517006802721,0.027210884353741496,0.013605442176870748,0.061224489795918366,4.083333333333333,R
Quinn Mathews,22.47191011235955,8.98876404494382,0.0,0.0,0.3595505617977528,0.21348314606741572,0.033707865168539325,0.0,0.011235955056179775,22.25,R
Quinn Priester,19.82248520710059,8.136094674556213,0.237,0.37,0.3136094674556213,0.14053254437869822,0.051775147928994084,0.0029585798816568047,0.028106508875739646,21.806451612903224,R
Rafael Montero,22.65625,14.84375,0.204,0.327,0.3203125,0.109375,0.04296875,0.0,0.01953125,4.266666666666667,R
Raisel Iglesias,26.427061310782243,6.765327695560254,0.22017088607594934,0.37731012658227847,0.2748414376321353,0.12896405919661733,0.042283298097251586,0.0021141649048625794,0.02748414376321353,4.14,R
