Team,SOS,oRating,dRating,Yds/Play,Last 3,wYds/Play,D Yds/Play,Last 3,wD Yds/Play,Yds/Point,Last 3,wYds/Point,D Yds/Point,Last 3,wD Yds/Point,PlaysGame,dPlaysGame,HomeAdv
Texas,1.2,1.433,0.394,5.5,5.5,5.499,4.6,4.6,4.637,11.2,11.2,11.242,23.2,23.2,23.186,77.0,60.0,3.2
Texas A&M,1.1,1.453,0.583,5.1,5.1,5.076,5.0,5.0,5.029,9.8,9.8,9.767,15.5,15.5,15.482,76.3,52.3,2.2
Texas St,1.2,1.067,1.398,6.5,6.5,6.506,6.4,6.4,6.415,17.5,17.5,17.536,11.9,11.9,11.854,73.7,77.0,2.0
Texas Tech,1.4,1.267,0.606,6.1,6.1,6.097,5.3,5.3,5.312,13.1,13.1,13.147,18.3,18.3,18.325,69.0,69.0,3.3
Toledo,1.0,1.752,1.089,7.1,7.1,7.066,4.4,4.4,4.361,10.3,10.3,10.331,10.6,10.6,10.555,64.3,71.0,2.7
Troy,1.3,1.14,0.684,5.3,5.3,5.316,4.7,4.7,4.678,14.6,14.6,14.601,12.6,12.6,12.593,68.7,58.3,1.8
Tulane,1.3,0.782,0.759,5.8,5.8,5.776,6.1,6.1,6.057,18.8,18.8,18.8,18.0,18.0,18.003,55.3,71.3,3.5
Tulsa,1.2,1.337,0.293,5.9,5.9,5.93,4.7,4.7,4.652,13.3,13.3,13.325,38.4,38.4,38.424,66.7,74.3,0.7
UAB,1.1,0.785,0.89,5.0,4.9,4.962,5.3,4.5,5.063,14.9,14.6,14.772,13.0,11.0,12.288,64.8,62.5,4.0
UCF,1.3,1.843,0.502,6.7,6.7,6.687,4.4,4.4,4.388,9.2,9.2,9.168,19.7,19.7,19.748,56.7,72.0,2.4
UCLA,1.1,1.501,0.834,7.4,7.4,7.377,5.5,5.5,5.453,11.8,11.8,11.803,15.3,15.3,15.299,66.7,67.3,1.6
UConn,1.2,1.536,0.708,6.5,6.5,6.54,4.7,4.7,4.711,10.9,10.9,10.864,16.5,16.5,16.525,65.3,76.0,2.5
UL Monroe,1.3,0.902,1.361,4.9,4.9,4.852,6.8,6.8,6.774,15.1,15.1,15.055,10.9,10.9,10.859,70.3,67.3,1.9
UMass,1.2,1.313,0.491,6.7,6.7,6.698,4.3,4.3,4.264,9.9,9.9,9.925,17.9,17.9,17.907,54.3,63.0,1.4
UNLV,1.0,0.567,0.917,5.3,5.3,5.324,5.8,5.8,5.821,23.5,23.5,23.512,15.3,15.3,15.345,70.7,67.7,2.3
USC,1.1,1.706,0.801,7.2,6.9,7.116,5.5,6.5,5.886,11.7,11.2,11.501,13.5,15.8,14.296,69.5,55.2,2.8
Utah,0.5,1.65,0.379,7.4,7.4,7.352,3.7,3.7,3.728,10.9,10.9,10.924,29.7,29.7,29.666,70.3,63.7,3.3
Utah St,1.4,0.543,0.791,4.3,4.3,4.26,5.0,5.0,5.041,27.5,27.5,27.481,13.6,13.6,13.636,66.7,70.3,3.1
UTEP,1.0,1.202,1.407,5.3,5.3,5.273,5.5,5.5,5.491,12.2,12.2,12.175,9.2,9.2,9.233,52.3,63.3,1.9
UTSA,1.2,1.009,0.802,5.8,5.8,5.817,5.3,5.3,5.347,12.7,12.7,12.698,18.1,18.1,18.121,59.7,81.3,2.5
Vanderbilt,1.2,1.355,0.721,6.1,6.1,6.083,4.8,4.8,4.829,11.8,11.8,11.795,14.1,14.1,14.12,63.3,64.3,1.3
Virginia,1.4,1.648,0.493,6.2,6.2,6.216,4.4,4.4,4.384,10.4,10.4,10.359,16.5,16.5,16.462,66.7,61.3,2.9
Virginia Tech,1.2,2.117,0.557,6.5,6.5,6.456,4.7,4.7,4.684,9.9,9.9,9.896,16.1,16.1,16.114,77.7,57.3,2.6
W Kentucky,1.6,0.542,1.493,3.5,3.5,3.522,8.1,8.1,8.123,22.5,22.5,22.477,9.5,9.5,9.52,72.3,61.3,2.7
W Michigan,0.8,1.244,0.644,5.3,5.3,5.282,5.3,5.3,5.287,11.1,11.1,11.099,22.0,22.0,22.03,62.3,66.7,2.4
Wake Forest,1.4,1.207,0.868,6.6,6.6,6.551,5.2,5.2,5.176,13.5,13.5,13.511,13.3,13.3,13.336,66.0,73.0,2.2
Washington,0.6,1.146,0.615,6.6,6.6,6.633,4.4,4.4,4.398,15.1,15.1,15.075,20.8,20.8,20.78,66.7,63.0,2.8
Washington St,1.4,1.11,0.67,5.3,5.3,5.3,5.4,5.4,5.42,13.7,13.7,13.698,15.9,15.9,15.925,56.0,63.7,3.7
West Virginia,1.2,1.706,0.646,6.8,6.8,6.755,5.4,5.4,5.414,11.5,11.5,11.501,19.0,19.0,19.041,68.7,68.0,2.9
Wisconsin,1.0,1.436,0.719,6.6,6.6,6.64,4.7,4.7,4.736,11.4,11.4,11.41,14.4,14.4,14.445,59.0,61.0,1.7
Wyoming,1.0,0.586,0.888,5.3,5.3,5.338,5.7,5.7,5.699,20.9,20.9,20.867,15.4,15.4,15.434,57.3,65.0,3.3
